Time,X,Y,Vx,Vy,Ax,Ay,Radius,KineticEnergy,XExact,YExact,VxExact,VyExact,AxExact,AyExact,RadiusExact,KineticEnergyExact,XError,YError,VxError,VyError,AxError,AyError,KineticEnergyError,RadiusError
0.000000,2.000000,0.000000,0.000000,3.000000,-4.500000,-0.000000,2.000000,4.500000,2.000000,0.000000,-0.000000,3.000000,-4.500000,-0.000000,2.000000,4.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,2.000000,0.030000,-0.045000,3.000000,-4.500000,-0.067500,2.000225,4.501012,1.999775,0.029999,-0.044998,2.999663,-4.499494,-0.067497,2.000000,4.500000,0.000225,0.000001,-0.000002,0.000337,-0.000506,-0.000003,0.001012,0.000225
0.020000,1.999550,0.060000,-0.090000,2.999325,-4.498988,-0.135000,2.000450,4.502025,1.999100,0.059991,-0.089987,2.998650,-4.497975,-0.134980,2.000000,4.500000,0.000450,0.000009,-0.000013,0.000675,-0.001012,-0.000020,0.002025,0.000450
0.030000,1.998650,0.089993,-0.134990,2.997975,-4.496963,-0.202485,2.000675,4.503038,1.997975,0.089970,-0.134954,2.996963,-4.495445,-0.202432,2.000000,4.500000,0.000675,0.000024,-0.000035,0.001012,-0.001518,-0.000053,0.003038,0.000675
0.040000,1.997300,0.119973,-0.179960,2.995950,-4.493925,-0.269939,2.000900,4.504051,1.996401,0.119928,-0.179892,2.994602,-4.491902,-0.269838,2.000000,4.500000,0.000899,0.000045,-0.000067,0.001349,-0.002023,-0.000101,0.004051,0.000900
0.050000,1.995501,0.149933,-0.224899,2.993251,-4.489876,-0.337348,2.001125,4.505065,1.994378,0.149859,-0.224789,2.991566,-4.487350,-0.337184,2.000000,4.500000,0.001123,0.000073,-0.000110,0.001684,-0.002526,-0.000164,0.005065,0.001125
0.060000,1.993252,0.179865,-0.269798,2.989877,-4.484816,-0.404696,2.001350,4.506078,1.991905,0.179757,-0.269636,2.987858,-4.481787,-0.404453,2.000000,4.500000,0.001346,0.000108,-0.000162,0.002019,-0.003029,-0.000243,0.006078,0.001350
0.070000,1.990554,0.209764,-0.314646,2.985830,-4.478745,-0.471969,2.001575,4.507092,1.988985,0.209614,-0.314422,2.983478,-4.475217,-0.471632,2.000000,4.500000,0.001568,0.000149,-0.000224,0.002353,-0.003529,-0.000336,0.007092,0.001575
0.080000,1.987407,0.239622,-0.359433,2.981111,-4.471666,-0.539150,2.001801,4.508106,1.985617,0.239424,-0.359137,2.978426,-4.467639,-0.538705,2.000000,4.500000,0.001790,0.000198,-0.000297,0.002685,-0.004027,-0.000445,0.008106,0.001801
0.090000,1.983813,0.269433,-0.404150,2.975719,-4.463579,-0.606225,2.002026,4.509121,1.981803,0.269181,-0.403771,2.972704,-4.459056,-0.605656,2.000000,4.500000,0.002010,0.000253,-0.000379,0.003015,-0.004523,-0.000568,0.009121,0.002026
0.100000,1.979771,0.299190,-0.448786,2.969657,-4.454485,-0.673178,2.002251,4.510135,1.977542,0.298876,-0.448314,2.966313,-4.449470,-0.672472,2.000000,4.500000,0.002229,0.000314,-0.000471,0.003344,-0.005015,-0.000707,0.010135,0.002251
0.110000,1.975283,0.328887,-0.493330,2.962925,-4.444388,-0.739996,2.002476,4.511150,1.972837,0.328505,-0.492757,2.959255,-4.438883,-0.739135,2.000000,4.500000,0.002447,0.000382,-0.000573,0.003670,-0.005505,-0.000860,0.011150,0.002476
0.120000,1.970350,0.358516,-0.537774,2.955525,-4.433288,-0.806661,2.002702,4.512165,1.967687,0.358059,-0.537089,2.951531,-4.427297,-0.805633,2.000000,4.500000,0.002663,0.000457,-0.000686,0.003994,-0.005991,-0.001028,0.012165,0.002702
0.130000,1.964972,0.388071,-0.582107,2.947459,-4.421188,-0.873161,2.002927,4.513180,1.962095,0.387533,-0.581300,2.943143,-4.414715,-0.871949,2.000000,4.500000,0.002877,0.000538,-0.000808,0.004316,-0.006473,-0.001211,0.013180,0.002927
0.140000,1.959151,0.417546,-0.626319,2.938727,-4.408090,-0.939479,2.003152,4.514196,1.956062,0.416920,-0.625380,2.934093,-4.401139,-0.938070,2.000000,4.500000,0.003089,0.000626,-0.000939,0.004634,-0.006951,-0.001409,0.014196,0.003152
0.150000,1.952888,0.446933,-0.670400,2.929332,-4.393998,-1.005600,2.003377,4.515211,1.949588,0.446213,-0.669319,2.924382,-4.386573,-1.003979,2.000000,4.500000,0.003300,0.000721,-0.001081,0.004950,-0.007425,-0.001621,0.015211,0.003377
0.160000,1.946184,0.476227,-0.714340,2.919276,-4.378914,-1.071510,2.003603,4.516227,1.942676,0.475405,-0.713108,2.914014,-4.371021,-1.069662,2.000000,4.500000,0.003508,0.000821,-0.001232,0.005262,-0.007893,-0.001848,0.016227,0.003603
0.170000,1.939041,0.505419,-0.758129,2.908561,-4.362842,-1.137194,2.003828,4.517244,1.935327,0.504491,-0.756736,2.902990,-4.354485,-1.135104,2.000000,4.500000,0.003714,0.000929,-0.001393,0.005571,-0.008357,-0.002089,0.017244,0.003828
0.180000,1.931459,0.534505,-0.801758,2.897189,-4.345784,-1.202636,2.004054,4.518260,1.927542,0.533463,-0.800194,2.891313,-4.336969,-1.200291,2.000000,4.500000,0.003918,0.001042,-0.001563,0.005876,-0.008815,-0.002345,0.018260,0.004054
0.190000,1.923442,0.563477,-0.845215,2.885163,-4.327744,-1.267823,2.004279,4.519277,1.919323,0.562315,-0.843472,2.878985,-4.318477,-1.265209,2.000000,4.500000,0.004119,0.001162,-0.001743,0.006178,-0.009267,-0.002614,0.019277,0.004279
0.200000,1.914990,0.592329,-0.888493,2.872485,-4.308727,-1.332739,2.004505,4.520293,1.910673,0.591040,-0.886561,2.866009,-4.299014,-1.329841,2.000000,4.500000,0.004317,0.001288,-0.001932,0.006475,-0.009713,-0.002898,0.020293,0.004505
0.210000,1.906105,0.621053,-0.931580,2.859157,-4.288736,-1.397370,2.004730,4.521310,1.901593,0.619633,-0.929449,2.852389,-4.278584,-1.394174,2.000000,4.500000,0.004512,0.001420,-0.002131,0.006768,-0.010152,-0.003196,0.021310,0.004730
0.220000,1.896789,0.649645,-0.974467,2.845183,-4.267775,-1.461701,2.004956,4.522328,1.892085,0.648086,-0.972129,2.838127,-4.257191,-1.458194,2.000000,4.500000,0.004704,0.001559,-0.002338,0.007056,-0.010585,-0.003507,0.022328,0.004956
0.230000,1.887044,0.678097,-1.017145,2.830566,-4.245850,-1.525718,2.005181,4.523345,1.882151,0.676393,-1.014590,2.823226,-4.234840,-1.521885,2.000000,4.500000,0.004893,0.001703,-0.002555,0.007340,-0.011010,-0.003833,0.023345,0.005181
0.240000,1.876873,0.706402,-1.059604,2.815309,-4.222964,-1.589405,2.005407,4.524363,1.871794,0.704548,-1.056823,2.807690,-4.211536,-1.585234,2.000000,4.500000,0.005079,0.001854,-0.002781,0.007619,-0.011428,-0.004171,0.024363,0.005407
0.250000,1.866277,0.734556,-1.101833,2.799415,-4.199123,-1.652750,2.005632,4.525381,1.861015,0.732545,-1.098818,2.791523,-4.187284,-1.648226,2.000000,4.500000,0.005262,0.002010,-0.003016,0.007892,-0.011838,-0.004524,0.025381,0.005632
0.260000,1.855258,0.762550,-1.143825,2.782888,-4.174332,-1.715737,2.005858,4.526399,1.849818,0.760377,-1.140565,2.774727,-4.162091,-1.710848,2.000000,4.500000,0.005440,0.002173,-0.003259,0.008160,-0.012241,-0.004889,0.026399,0.005858
0.270000,1.843820,0.790379,-1.185568,2.765730,-4.148595,-1.778352,2.006084,4.527418,1.838205,0.788038,-1.182056,2.757307,-4.135961,-1.773084,2.000000,4.500000,0.005615,0.002341,-0.003512,0.008423,-0.012635,-0.005267,0.027418,0.006084
0.280000,1.831965,0.818036,-1.227054,2.747947,-4.121920,-1.840581,2.006309,4.528436,1.826178,0.815521,-1.223281,2.739267,-4.108900,-1.834922,2.000000,4.500000,0.005787,0.002515,-0.003772,0.008680,-0.013020,-0.005659,0.028436,0.006309
0.290000,1.819694,0.845515,-1.268273,2.729541,-4.094311,-1.902409,2.006535,4.529455,1.813740,0.842821,-1.264231,2.720610,-4.080915,-1.896347,2.000000,4.500000,0.005954,0.002695,-0.004042,0.008931,-0.013396,-0.006063,0.029455,0.006535
0.300000,1.807011,0.872811,-1.309216,2.710517,-4.065775,-1.963824,2.006761,4.530474,1.800894,0.869931,-1.304897,2.701341,-4.052012,-1.957345,2.000000,4.500000,0.006117,0.002880,-0.004320,0.009176,-0.013763,-0.006479,0.030474,0.006761
0.310000,1.793919,0.899916,-1.349874,2.690879,-4.036318,-2.024811,2.006986,4.531494,1.787643,0.896846,-1.345268,2.681465,-4.022197,-2.017903,2.000000,4.500000,0.006276,0.003070,-0.004605,0.009414,-0.014121,-0.006908,0.031494,0.006986
0.320000,1.780420,0.926825,-1.390237,2.670631,-4.005946,-2.085356,2.007212,4.532513,1.773990,0.923558,-1.385338,2.660985,-3.991477,-2.078006,2.000000,4.500000,0.006431,0.003266,-0.004900,0.009646,-0.014469,-0.007349,0.032513,0.007212
0.330000,1.766518,0.953531,-1.430296,2.649777,-3.974665,-2.145445,2.007438,4.533533,1.759937,0.950063,-1.425095,2.639906,-3.959859,-2.137642,2.000000,4.500000,0.006581,0.003468,-0.005202,0.009871,-0.014806,-0.007802,0.033533,0.007438
0.340000,1.752215,0.980029,-1.470043,2.628323,-3.942484,-2.205065,2.007664,4.534553,1.745489,0.976354,-1.464532,2.618234,-3.927350,-2.196798,2.000000,4.500000,0.006726,0.003674,-0.005511,0.010089,-0.015134,-0.008267,0.034553,0.007664
0.350000,1.737515,1.006312,-1.509468,2.606272,-3.909408,-2.264202,2.007890,4.535573,1.730648,1.002426,-1.503639,2.595972,-3.893958,-2.255459,2.000000,4.500000,0.006867,0.003886,-0.005829,0.010300,-0.015450,-0.008743,0.035573,0.007890
0.360000,1.722420,1.032375,-1.548562,2.583630,-3.875445,-2.322843,2.008116,4.536594,1.715417,1.028272,-1.542408,2.573126,-3.859689,-2.313612,2.000000,4.500000,0.007003,0.004103,-0.006154,0.010504,-0.015756,-0.009231,0.036594,0.008116
0.370000,1.706934,1.058211,-1.587317,2.560401,-3.840602,-2.380975,2.008341,4.537615,1.699801,1.053887,-1.580830,2.549701,-3.824552,-2.371245,2.000000,4.500000,0.007133,0.004324,-0.006487,0.010700,-0.016050,-0.009730,0.037615,0.008341
0.380000,1.691061,1.083815,-1.625723,2.536592,-3.804888,-2.438584,2.008567,4.538636,1.683802,1.079264,-1.618896,2.525703,-3.788554,-2.428344,2.000000,4.500000,0.007259,0.004551,-0.006826,0.010889,-0.016333,-0.010240,0.038636,0.008567
0.390000,1.674804,1.109181,-1.663771,2.512206,-3.768309,-2.495657,2.008793,4.539657,1.667424,1.104399,-1.656598,2.501136,-3.751704,-2.484897,2.000000,4.500000,0.007380,0.004782,-0.007173,0.011070,-0.016604,-0.010760,0.039657,0.008793
0.400000,1.658166,1.134303,-1.701454,2.487249,-3.730874,-2.552182,2.009019,4.540678,1.650671,1.129285,-1.693927,2.476007,-3.714010,-2.540891,2.000000,4.500000,0.007495,0.005018,-0.007527,0.011242,-0.016864,-0.011291,0.040678,0.009019
0.410000,1.641152,1.159175,-1.738763,2.461727,-3.692591,-2.608145,2.009245,4.541700,1.633547,1.153917,-1.730876,2.450320,-3.675481,-2.596313,2.000000,4.500000,0.007605,0.005258,-0.007888,0.011407,-0.017111,-0.011832,0.041700,0.009245
0.420000,1.623764,1.183793,-1.775689,2.435646,-3.653469,-2.663534,2.009471,4.542722,1.616055,1.178290,-1.767434,2.424083,-3.636124,-2.651151,2.000000,4.500000,0.007709,0.005503,-0.008255,0.011563,-0.017345,-0.012382,0.042722,0.009471
0.430000,1.606007,1.208149,-1.812224,2.409011,-3.613516,-2.718336,2.009697,4.543744,1.598200,1.202397,-1.803595,2.397299,-3.595949,-2.705393,2.000000,4.500000,0.007808,0.005752,-0.008629,0.011711,-0.017567,-0.012943,0.043744,0.009697
0.440000,1.587885,1.232239,-1.848359,2.381827,-3.572741,-2.772539,2.009923,4.544766,1.579984,1.226234,-1.839351,2.369977,-3.554965,-2.759026,2.000000,4.500000,0.007900,0.006006,-0.009008,0.011851,-0.017776,-0.013513,0.044766,0.009923
0.450000,1.569401,1.256058,-1.884086,2.354102,-3.531153,-2.826130,2.010150,4.545789,1.561414,1.249795,-1.874692,2.342121,-3.513181,-2.812038,2.000000,4.500000,0.007987,0.006263,-0.009394,0.011981,-0.017972,-0.014092,0.045789,0.010150
0.460000,1.550560,1.279599,-1.919398,2.325841,-3.488761,-2.879097,2.010376,4.546812,1.542492,1.273074,-1.909612,2.313738,-3.470607,-2.864417,2.000000,4.500000,0.008068,0.006524,-0.009786,0.012103,-0.018154,-0.014680,0.046812,0.010376
0.470000,1.531366,1.302857,-1.954286,2.297050,-3.445575,-2.931428,2.010602,4.547835,1.523223,1.296068,-1.944101,2.284835,-3.427252,-2.916152,2.000000,4.500000,0.008143,0.006789,-0.010184,0.012215,-0.018323,-0.015276,0.047835,0.010602
0.480000,1.511824,1.325828,-1.988741,2.267735,-3.401603,-2.983112,2.010828,4.548858,1.503611,1.318769,-1.978154,2.255417,-3.383126,-2.967231,2.000000,4.500000,0.008212,0.007058,-0.010587,0.012318,-0.018477,-0.015881,0.048858,0.010828
0.490000,1.491936,1.348505,-2.022757,2.237904,-3.356856,-3.034136,2.011054,4.549881,1.483662,1.341174,-2.011761,2.225492,-3.338238,-3.017642,2.000000,4.500000,0.008275,0.007331,-0.010996,0.012412,-0.018618,-0.016494,0.049881,0.011054
0.500000,1.471709,1.370884,-2.056326,2.207563,-3.311344,-3.084489,2.011280,4.550905,1.463378,1.363278,-2.044916,2.195067,-3.292600,-3.067374,2.000000,4.500000,0.008331,0.007606,-0.011410,0.012496,-0.018744,-0.017114,0.050905,0.011280
0.510000,1.451145,1.392960,-2.089439,2.176718,-3.265077,-3.134159,2.011507,4.551929,1.442765,1.385074,-2.077611,2.164147,-3.246221,-3.116416,2.000000,4.500000,0.008381,0.007886,-0.011828,0.012571,-0.018856,-0.017743,0.051929,0.011507
0.520000,1.430251,1.414727,-2.122090,2.145376,-3.218065,-3.183135,2.011733,4.552953,1.421827,1.406559,-2.109838,2.132741,-3.199111,-3.164757,2.000000,4.500000,0.008424,0.008168,-0.012252,0.012636,-0.018954,-0.018378,0.052953,0.011733
0.530000,1.409030,1.436180,-2.154271,2.113545,-3.170318,-3.231406,2.011959,4.553978,1.400570,1.427727,-2.141591,2.100854,-3.151281,-3.212386,2.000000,4.500000,0.008461,0.008453,-0.012680,0.012691,-0.019036,-0.019020,0.053978,0.011959
0.540000,1.387487,1.457316,-2.185974,2.081231,-3.121847,-3.278961,2.012186,4.555002,1.378997,1.448574,-2.172862,2.068495,-3.102743,-3.259292,2.000000,4.500000,0.008490,0.008742,-0.013112,0.012736,-0.019104,-0.019669,0.055002,0.012186
0.550000,1.365628,1.478128,-2.217192,2.048441,-3.072662,-3.325789,2.012412,4.556027,1.357114,1.469096,-2.203643,2.035671,-3.053506,-3.305465,2.000000,4.500000,0.008514,0.009033,-0.013549,0.012771,-0.019156,-0.020324,0.056027,0.012412
0.560000,1.343456,1.498613,-2.247919,2.015184,-3.022775,-3.371879,2.012638,4.557052,1.334926,1.489286,-2.233929,2.002388,-3.003583,-3.350894,2.000000,4.500000,0.008530,0.009326,-0.013990,0.012795,-0.019193,-0.020984,0.057052,0.012638
0.570000,1.320976,1.518765,-2.278147,1.981465,-2.972197,-3.417220,2.012865,4.558078,1.312437,1.509142,-2.263713,1.968656,-2.952983,-3.395569,2.000000,4.500000,0.008539,0.009623,-0.014434,0.012809,-0.019214,-0.021651,0.058078,0.012865
0.580000,1.298195,1.538579,-2.307869,1.947293,-2.920939,-3.461803,2.013091,4.559103,1.289653,1.528658,-2.292987,1.934480,-2.901719,-3.439480,2.000000,4.500000,0.008542,0.009921,-0.014882,0.012813,-0.019219,-0.022323,0.059103,0.013091
0.590000,1.275116,1.558052,-2.337078,1.912675,-2.869012,-3.505617,2.013318,4.560129,1.266579,1.547830,-2.321745,1.899869,-2.849803,-3.482617,2.000000,4.500000,0.008537,0.010222,-0.015333,0.012806,-0.019209,-0.023000,0.060129,0.013318
0.600000,1.251746,1.577179,-2.365768,1.877618,-2.816427,-3.548652,2.013544,4.561155,1.243220,1.566654,-2.349981,1.864830,-2.797245,-3.524971,2.000000,4.500000,0.008526,0.010525,-0.015788,0.012788,-0.019183,-0.023681,0.061155,0.013544
0.610000,1.228088,1.595955,-2.393933,1.842132,-2.763198,-3.590899,2.013771,4.562181,1.219581,1.585125,-2.377688,1.829372,-2.744058,-3.566532,2.000000,4.500000,0.008507,0.010830,-0.016245,0.012760,-0.019140,-0.024367,0.062181,0.013771
