Time,X,Y,Vx,Vy,Ax,Ay,Radius,KineticEnergy,XExact,YExact,VxExact,VyExact,AxExact,AyExact,RadiusExact,KineticEnergyExact,XError,YError,VxError,VyError,AxError,AyError,KineticEnergyError,RadiusError
0.000000,2.000000,0.000000,0.000000,3.000000,-4.500000,-0.000000,2.000000,4.500000,2.000000,0.000000,-0.000000,3.000000,-4.500000,-0.000000,2.000000,4.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,1.999775,0.029999,-0.044998,2.999663,-4.499494,-0.067497,2.000000,4.500000,1.999775,0.029999,-0.044998,2.999663,-4.499494,-0.067497,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.020000,1.999100,0.059991,-0.089987,2.998650,-4.497975,-0.134980,2.000000,4.500000,1.999100,0.059991,-0.089987,2.998650,-4.497975,-0.134980,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.030000,1.997975,0.089970,-0.134954,2.996963,-4.495445,-0.202432,2.000000,4.500000,1.997975,0.089970,-0.134954,2.996963,-4.495445,-0.202432,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.040000,1.996401,0.119928,-0.179892,2.994602,-4.491902,-0.269838,2.000000,4.500000,1.996401,0.119928,-0.179892,2.994602,-4.491902,-0.269838,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.050000,1.994378,0.149859,-0.224789,2.991566,-4.487350,-0.337184,2.000000,4.500000,1.994378,0.149859,-0.224789,2.991566,-4.487350,-0.337184,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.060000,1.991905,0.179757,-0.269636,2.987858,-4.481787,-0.404453,2.000000,4.500000,1.991905,0.179757,-0.269636,2.987858,-4.481787,-0.404453,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.070000,1.988985,0.209614,-0.314422,2.983478,-4.475217,-0.471632,2.000000,4.500000,1.988985,0.209614,-0.314422,2.983478,-4.475217,-0.471632,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.080000,1.985617,0.239424,-0.359137,2.978426,-4.467639,-0.538705,2.000000,4.500000,1.985617,0.239424,-0.359137,2.978426,-4.467639,-0.538705,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.090000,1.981803,0.269181,-0.403771,2.972704,-4.459056,-0.605656,2.000000,4.500000,1.981803,0.269181,-0.403771,2.972704,-4.459056,-0.605656,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.100000,1.977542,0.298876,-0.448314,2.966313,-4.449470,-0.672472,2.000000,4.500000,1.977542,0.298876,-0.448314,2.966313,-4.449470,-0.672472,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.110000,1.972837,0.328505,-0.492757,2.959255,-4.438883,-0.739135,2.000000,4.500000,1.972837,0.328505,-0.492757,2.959255,-4.438883,-0.739135,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.120000,1.967687,0.358059,-0.537089,2.951531,-4.427297,-0.805633,2.000000,4.500000,1.967687,0.358059,-0.537089,2.951531,-4.427297,-0.805633,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.130000,1.962095,0.387533,-0.581300,2.943143,-4.414715,-0.871949,2.000000,4.500000,1.962095,0.387533,-0.581300,2.943143,-4.414715,-0.871949,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.140000,1.956062,0.416920,-0.625380,2.934093,-4.401139,-0.938070,2.000000,4.500000,1.956062,0.416920,-0.625380,2.934093,-4.401139,-0.938070,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.150000,1.949588,0.446213,-0.669319,2.924382,-4.386573,-1.003979,2.000000,4.500000,1.949588,0.446213,-0.669319,2.924382,-4.386573,-1.003979,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.160000,1.942676,0.475405,-0.713108,2.914014,-4.371021,-1.069662,2.000000,4.500000,1.942676,0.475405,-0.713108,2.914014,-4.371021,-1.069662,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.170000,1.935327,0.504491,-0.756736,2.902990,-4.354485,-1.135104,2.000000,4.500000,1.935327,0.504491,-0.756736,2.902990,-4.354485,-1.135104,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.180000,1.927542,0.533463,-0.800194,2.891313,-4.336969,-1.200291,2.000000,4.500000,1.927542,0.533463,-0.800194,2.891313,-4.336969,-1.200291,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.190000,1.919323,0.562315,-0.843472,2.878985,-4.318477,-1.265209,2.000000,4.500000,1.919323,0.562315,-0.843472,2.878985,-4.318477,-1.265209,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.200000,1.910673,0.591040,-0.886561,2.866009,-4.299014,-1.329841,2.000000,4.500000,1.910673,0.591040,-0.886561,2.866009,-4.299014,-1.329841,2.000000,4.500000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
