Time,Voltage,VoltageExact,VoltageError
0.000000,5.000000,5.000000,0.000000
0.010000,4.950000,4.950249,-0.000249
0.020000,4.900500,4.900993,-0.000493
0.030000,4.851495,4.852228,-0.000733
0.040000,4.802980,4.803947,-0.000967
0.050000,4.754950,4.756147,-0.001197
0.060000,4.707401,4.708823,-0.001422
0.070000,4.660327,4.661969,-0.001642
0.080000,4.613723,4.615582,-0.001858
0.090000,4.567586,4.569656,-0.002070
0.100000,4.521910,4.524187,-0.002277
0.110000,4.476691,4.479171,-0.002479
0.120000,4.431924,4.434602,-0.002678
0.130000,4.387605,4.390477,-0.002872
0.140000,4.343729,4.346791,-0.003062
0.150000,4.300292,4.303540,-0.003248
0.160000,4.257289,4.260719,-0.003430
0.170000,4.214716,4.218324,-0.003608
0.180000,4.172569,4.176351,-0.003782
0.190000,4.130843,4.134796,-0.003953
0.200000,4.089535,4.093654,-0.004119
0.210000,4.048639,4.052921,-0.004282
0.220000,4.008153,4.012594,-0.004441
0.230000,3.968071,3.972668,-0.004597
0.240000,3.928391,3.933139,-0.004749
0.250000,3.889107,3.894004,-0.004897
0.260000,3.850216,3.855258,-0.005042
0.270000,3.811714,3.816897,-0.005184
0.280000,3.773596,3.778919,-0.005322
0.290000,3.735860,3.741318,-0.005457
0.300000,3.698502,3.704091,-0.005589
0.310000,3.661517,3.667235,-0.005718
0.320000,3.624902,3.630745,-0.005844
0.330000,3.588653,3.594619,-0.005966
0.340000,3.552766,3.558852,-0.006085
0.350000,3.517238,3.523440,-0.006202
0.360000,3.482066,3.488382,-0.006316
0.370000,3.447245,3.453672,-0.006426
0.380000,3.412773,3.419307,-0.006534
0.390000,3.378645,3.385284,-0.006639
0.400000,3.344859,3.351600,-0.006741
0.410000,3.311410,3.318251,-0.006841
0.420000,3.278296,3.285234,-0.006938
0.430000,3.245513,3.252545,-0.007032
0.440000,3.213058,3.220182,-0.007124
0.450000,3.180927,3.188141,-0.007213
0.460000,3.149118,3.156418,-0.007300
0.470000,3.117627,3.125011,-0.007384
0.480000,3.086451,3.093917,-0.007466
0.490000,3.055586,3.063132,-0.007546
0.500000,3.025030,3.032653,-0.007623
0.510000,2.994780,3.002478,-0.007698
0.520000,2.964832,2.972603,-0.007771
0.530000,2.935184,2.943025,-0.007841
0.540000,2.905832,2.913741,-0.007909
0.550000,2.876774,2.884749,-0.007975
0.560000,2.848006,2.856045,-0.008039
0.570000,2.819526,2.827627,-0.008101
0.580000,2.791331,2.799492,-0.008161
0.590000,2.763417,2.771636,-0.008219
0.600000,2.735783,2.744058,-0.008275
