Time,Voltage,VoltageExact,VoltageError
0.000000,5.000000,5.000000,0.000000
0.010000,4.950249,4.950249,0.000000
0.020000,4.900993,4.900993,0.000000
0.030000,4.852228,4.852228,0.000000
0.040000,4.803947,4.803947,0.000000
0.050000,4.756147,4.756147,0.000000
0.060000,4.708823,4.708823,0.000000
0.070000,4.661969,4.661969,0.000000
0.080000,4.615582,4.615582,0.000000
0.090000,4.569656,4.569656,0.000000
0.100000,4.524187,4.524187,0.000000
0.110000,4.479171,4.479171,0.000000
0.120000,4.434602,4.434602,0.000000
0.130000,4.390477,4.390477,0.000000
0.140000,4.346791,4.346791,0.000000
0.150000,4.303540,4.303540,0.000000
0.160000,4.260719,4.260719,0.000000
0.170000,4.218324,4.218324,0.000000
0.180000,4.176351,4.176351,0.000000
0.190000,4.134796,4.134796,0.000000
0.200000,4.093654,4.093654,0.000000
0.210000,4.052921,4.052921,0.000000
0.220000,4.012594,4.012594,0.000000
0.230000,3.972668,3.972668,0.000000
0.240000,3.933139,3.933139,0.000000
0.250000,3.894004,3.894004,0.000000
0.260000,3.855258,3.855258,0.000000
0.270000,3.816897,3.816897,0.000000
0.280000,3.778919,3.778919,0.000000
0.290000,3.741318,3.741318,0.000000
0.300000,3.704091,3.704091,0.000000
0.310000,3.667235,3.667235,0.000000
0.320000,3.630745,3.630745,0.000000
0.330000,3.594619,3.594619,0.000000
0.340000,3.558852,3.558852,0.000000
0.350000,3.523440,3.523440,0.000000
0.360000,3.488382,3.488382,0.000000
0.370000,3.453672,3.453672,0.000000
0.380000,3.419307,3.419307,0.000000
0.390000,3.385284,3.385284,0.000000
0.400000,3.351600,3.351600,0.000000
0.410000,3.318251,3.318251,0.000000
0.420000,3.285234,3.285234,0.000000
0.430000,3.252545,3.252545,0.000000
0.440000,3.220182,3.220182,0.000000
0.450000,3.188141,3.188141,0.000000
0.460000,3.156418,3.156418,0.000000
0.470000,3.125011,3.125011,0.000000
0.480000,3.093917,3.093917,0.000000
0.490000,3.063132,3.063132,0.000000
0.500000,3.032653,3.032653,0.000000
0.510000,3.002478,3.002478,0.000000
0.520000,2.972603,2.972603,0.000000
0.530000,2.943025,2.943025,0.000000
0.540000,2.913741,2.913741,0.000000
0.550000,2.884749,2.884749,0.000000
0.560000,2.856045,2.856045,0.000000
0.570000,2.827627,2.827627,0.000000
0.580000,2.799492,2.799492,0.000000
0.590000,2.771636,2.771636,0.000000
0.600000,2.744058,2.744058,0.000000
0.610000,2.716754,2.716754,0.000000
0.620000,2.689722,2.689722,0.000000
0.630000,2.662959,2.662959,0.000000
0.640000,2.636462,2.636462,0.000000
