frame,time,x_pixel,y_pixel,x,y
7,0.23220430107526882,233,988,0.1135935359697647,-0.0033409863520519026
8,0.2653763440860215,298,999,0.22217559241145152,-0.021716411288337366
9,0.2985483870967742,362,1019,0.3290871556771124,-0.055126274808856394
10,0.3317204301075269,422,1044,0.4293167462386695,-0.09688860420950518
11,0.3648924731182796,484,1077,0.5328873231522785,-0.15201487901836158
12,0.39806451612903226,546,1116,0.6364579000658874,-0.21716411288337367
13,0.431236559139785,603,1158,0.7316760110993666,-0.2873248262764636
14,0.46440860215053764,665,1211,0.8352465880129757,-0.37586096460583907
15,0.49758064516129036,725,1266,0.9354761785745327,-0.46773808928726635
16,0.530752688172043,781,1334,1.029023796431986,-0.5813316252570311
17,0.5639247311827957,849,1411,1.1426173324017508,-0.7099595998110293
